,Agent,Application ID,Burn Priority,Burn Request ID,Est. Permit Tonnage,Forest Health Exempt,Harvest Acres,Ignition Date,Ignition Period,In UGA,Landowner,Multi Day Burn,Permit Number,Post-Burn,Proposed Burn Area,Request Date,Smoke Dispersed,Total Proposed Burn,Unit Name,Lat,Lon,Request Year,Request Month,Burn Decision,Decision Date,Region
15,Neris Biciunas,8892,,13426,398.0,,78.0,2019-12-19 09:00:00,120.0,,Rayonier Washington Timber Company Rayonier Washington Timber Company,,OL20190102,,75.0,2019-12-17 00:00:00,,390.0,31N14W031,48.146007, -124.528434,2019,12,Approved,2019-12-19 00:00:00,OL
16,,9524,,13520,62.0,,11.0,2019-12-18 09:00:00,120.0,,TONY HILLIS TONY HILLIS,,NW20190039,,4.0,2020-01-28 00:00:00,,20.0,HILLIS,48.275591, -122.02095,2020,1,Approved,2020-01-28 00:00:00,NW
17,Warren Weston,9370,,13522,16.0,,1.0,2019-12-18 09:00:00,60.0,,Pacific Denkmann Company Pacific Denkmann Company,,NW20190095,,1.0,2020-01-28 00:00:00,,16.0,SCHOOL ROAD,48.275528, -122.085572,2020,1,Approved,2020-01-28 00:00:00,NW
18,MIKE BLAIS,9337,,13521,241.0,,28.0,2019-12-18 08:00:00,240.0,,FIVE POINT LODGE INC FIVE POINT LODGE INC,,NW20191072,,15.0,2020-01-28 00:00:00,,100.0,FIVE POINT,47.928216, -121.853285,2020,1,Approved,2020-01-28 00:00:00,NW
19,JAMES UNSELL,9220,,13519,136.0,,25.0,2019-12-18 09:00:00,120.0,,GALBRAITH TREE FARM GALBRAITH TREE FARM,,NW20191086,,5.0,2020-01-28 00:00:00,,30.0,GALBRAITH 2 2019,48.724599, -122.410353,2020,1,Approved,2020-01-28 00:00:00,NW
20,Ryley Gray,10104,2.0,13429,185.0,,46.0,2019-12-18 08:00:00,30.0,,1 WEYERHAEUSER CASTLE ROCK,,PC20199344,,46.0,2019-12-17 00:00:00,,185.0,2220,46.42778, -122.2696,2019,12,Approved,2019-12-18 00:00:00,PC
21,Ryley Gray,10102,1.0,13428,195.0,,66.0,2019-12-18 09:00:00,60.0,,1 WEYERHAEUSER CASTLE ROCK,,PC20199347,,66.0,2019-12-17 00:00:00,,195.0,2400A,46.31515, -122.5678,2019,12,Approved,2019-12-18 00:00:00,PC
22,Eric Bieker,9575,,13416,303.0,,451.0,2019-12-18 07:30:00,240.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20190051,,451.0,2019-12-16 00:00:00,,303.0,GROWER,45.990604, -120.790956,2019,12,Approved,2019-12-18 00:00:00,SE
23,Joe Berry,9829,1.0,13405,174.0,,28.0,2019-12-17 07:00:00,240.0,,Pacificorp Pacificorp,,PC20190432,,28.0,2019-12-13 00:00:00,,174.0,PACIFICORP UNIT 27,46.062144, -122.132417,2019,12,Approved,2019-12-17 00:00:00,PC
24,Eric Bieker,9039,,13401,2228.0,,516.0,2019-12-16 07:30:00,120.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20190044,,258.0,2019-12-13 00:00:00,,1114.0,BALOO,45.947809, -120.770566,2019,12,Approved,2019-12-16 00:00:00,SE
25,Warren Weston,9365,,13510,194.0,,18.0,2019-12-13 09:00:00,120.0,,Pacific Denkmann Company Pacific Denkmann Company,,NW20191090,,5.0,2020-01-28 00:00:00,,45.0,MIDDLE 19,48.275528, -122.085572,2020,1,Approved,2020-01-28 00:00:00,NW
26,Jeffrey Curless,9490,1.0,13391,714.0,,222.0,2019-12-13 08:00:00,180.0,,RAYONIER FOREST RESOURCES LP RAYONIER FOREST RESOURCES LP,,PC20190151,,222.0,2019-12-12 00:00:00,,314.0,RAYONIER-CURLESS-09N06W001,46.292109, -123.368651,2019,12,Approved,2019-12-13 00:00:00,PC
27,NW NATURAL RESOURCE GROU,9222,,13385,297.0,,20.0,2019-12-13 11:00:00,180.0,,City Of Roslyn City Of Roslyn,,SE20190026,,10.0,2019-12-12 00:00:00,,150.0,ROSLYN URBAN FOREST PILE BURN,47.225922, -120.995495,2019,12,Approved,2019-12-13 00:00:00,SE
28,Ryan Dippel,9050,1.0,13394,108.0,,72.0,2019-12-13 08:00:00,240.0,,Weyerhaeuser Co - Peell Weyerhaeuser Co - Peell,,PC20190410,,72.0,2019-12-12 00:00:00,,108.0,9000/720 RD,46.742951, -123.340891,2019,12,Approved,2019-12-13 00:00:00,PC
29,Neris Biciunas,8891,,13397,125.0,,51.0,2019-12-13 12:00:00,120.0,,Rayonier Washington Timber Company Rayonier Washington Timber Company,,OL20190101,,50.0,2019-12-12 00:00:00,,120.0,31N13W001,48.173361, -124.360174,2019,12,Approved,2019-12-13 00:00:00,OL
30,Neris Biciunas,8711,,13396,184.0,,97.0,2019-12-13 08:00:00,120.0,,Rayonier Washington Timber Company Rayonier Washington Timber Company,,OL20190077,,95.0,2019-12-12 00:00:00,,180.0,29N13W570,48.033807, -124.427877,2019,12,Approved,2019-12-13 00:00:00,OL
31,Ryley Gray,9723,1.0,13390,1527.0,,81.0,2019-12-13 08:00:00,30.0,,Weyerhauser Company Weyerhauser Company,,PC20190439,,54.0,2019-12-11 00:00:00,,1000.0,GRAY-WEYCO-3138A,46.334625, -122.313083,2019,12,Approved,2019-12-13 00:00:00,PC
32,Eric Bieker,9039,,13383,2228.0,,516.0,2019-12-13 07:30:00,360.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20190044,,516.0,2019-12-11 00:00:00,,2228.0,BALOO,45.947809, -120.770566,2019,12,Approved,2019-12-13 00:00:00,SE
33,Jeffrey Curless,9601,,13382,335.0,,160.0,2019-12-12 12:00:00,180.0,,RAYONIER FOREST RESOURCES LP RAYONIER FOREST RESOURCES LP,,PC20190140,,160.0,2019-12-11 00:00:00,,335.0,10N08W004,46.349416, -123.695044,2019,12,Approved,2019-12-12 00:00:00,PC
34,Jeffrey Curless,9490,,13381,714.0,,222.0,2019-12-12 08:00:00,240.0,,RAYONIER FOREST RESOURCES LP RAYONIER FOREST RESOURCES LP,,PC20190151,,222.0,2019-12-11 00:00:00,,714.0,RAYONIER-CURLESS-09N06W001,46.292109, -123.368651,2019,12,Approved,2019-12-12 00:00:00,PC
35,Eric Bieker,9037,,13375,688.0,,316.0,2019-12-12 08:00:00,300.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20190042,,316.0,2019-12-10 00:00:00,,688.0,BREAKUP,45.919161, -120.832648,2019,12,Approved,2019-12-12 00:00:00,SE
36,Eric Bieker,9035,,13374,573.0,,327.0,2019-12-12 08:00:00,360.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20190040,,327.0,2019-12-10 00:00:00,,573.0,PMCRACKEN,45.93352, -120.832609,2019,12,Approved,2019-12-12 00:00:00,SE
37,Rick Welle,9592,,13356,530.0,,73.0,2019-12-12 08:00:00,300.0,,ORM TIMBER FUND IV (REIT) INC. ORM TIMBER FUND IV (REIT) INC.,,SP2019-0109,,73.0,2019-12-09 00:00:00,,530.0,COWS FACE,46.885786, -121.949862,2019,12,Approved,2019-12-12 00:00:00,SP
38,,9928,1.0,13380,300.0,,200.0,2019-12-11 09:00:00,360.0,,Ken Meinhart,,FW20199120,,50.0,2019-12-10 00:00:00,,90.0,Howellia,47.42777, -117.554679,2019,12,Approved,2019-12-11 00:00:00,FED
39,Joe Berry,9830,,13373,1064.0,,49.0,2019-12-11 07:00:00,300.0,,Pacificorp Pacificorp,,PC20190433,,49.0,2019-12-10 00:00:00,,1064.0,PACIFICORP UNIT 34,46.120719, -122.132401,2019,12,Approved,2019-12-11 00:00:00,PC
40,Kelly Dougherty,9673,,13552,56.0,,91.0,2019-12-10 08:00:00,240.0,,Weyerhaeuser Columbia Timberlands Weyerhaeuser Columbia Timberlands,,NW20193082,,91.0,2020-01-28 00:00:00,,56.0,STRATIFY,48.753762, -122.059145,2020,1,Approved,2020-01-28 00:00:00,NW
41,,9928,1.0,13367,300.0,,200.0,2019-12-10 09:00:00,360.0,,Ken Meinhart,,FW20199120,,50.0,2019-12-09 00:00:00,,150.0,Howellia,47.42777, -117.554679,2019,12,Approved,2019-12-10 00:00:00,FED
42,Joe Berry,9830,,13366,1064.0,,49.0,2019-12-10 08:00:00,300.0,,Pacificorp Pacificorp,,PC20190433,,49.0,2019-12-09 00:00:00,,1064.0,PACIFICORP UNIT 34,46.120719, -122.132401,2019,12,Approved,2019-12-10 00:00:00,PC
43,Ryan Dippel,9052,2.0,13354,259.0,,76.0,2019-12-10 08:00:00,240.0,,Weyerhaeuser Co - Peell Weyerhaeuser Co - Peell,,PC20190412,,76.0,2019-12-09 00:00:00,,259.0,FORKS CREEK A 6400,46.505483, -123.409812,2019,12,Approved,2019-12-10 00:00:00,PC
44,Ryan Dippel,9049,1.0,13353,167.0,,90.0,2019-12-10 08:00:00,240.0,,Weyerhaeuser Co - Peell Weyerhaeuser Co - Peell,,PC20190409,,90.0,2019-12-09 00:00:00,,167.0,2080 RD,46.491663, -123.389411,2019,12,Approved,2019-12-10 00:00:00,PC
45,Ryan Dippel,9047,3.0,13355,359.0,,52.0,2019-12-10 08:00:00,240.0,,Weyerhaeuser Co - Peell Weyerhaeuser Co - Peell,,PC20190407,,52.0,2019-12-09 00:00:00,,359.0,1080 RD,46.405573, -123.305194,2019,12,Approved,2019-12-10 00:00:00,PC
46,Kelly Dougherty,9673,,13551,56.0,,91.0,2019-12-09 08:00:00,120.0,,Weyerhaeuser Columbia Timberlands Weyerhaeuser Columbia Timberlands,,NW20193082,,91.0,2020-01-28 00:00:00,,56.0,STRATIFY,48.753762, -122.059145,2020,1,Approved,2020-01-28 00:00:00,NW
47,,9411,,13340,152.0,,50.0,2019-12-06 10:30:00,60.0,,MERRILL & RING FOREST PRODUCTS L.P. MERRILL & RING FOREST PRODUCTS L.P.,,PC20190422,,50.0,2019-12-05 00:00:00,,152.0,UNIT #1,46.597423, -122.646268,2019,12,Approved,2019-12-06 00:00:00,PC
48,,9410,,13341,109.0,,50.0,2019-12-06 12:00:00,60.0,,MERRILL & RING FOREST PRODUCTS L.P. MERRILL & RING FOREST PRODUCTS L.P.,,PC20190423,,50.0,2019-12-05 00:00:00,,109.0,JOHNSON RD,46.626047, -122.563103,2019,12,Approved,2019-12-06 00:00:00,PC
49,Neris Biciunas,8886,2.0,13328,218.0,,130.0,2019-12-05 08:00:00,240.0,,Rayonier Washington Timber Company Rayonier Washington Timber Company,,OL20190097,,130.0,2019-12-04 00:00:00,,218.0,30N14W238,48.059234, -124.485878,2019,12,Approved,2019-12-05 00:00:00,OL
50,Jeffrey Curless,8701,1.0,13324,449.0,,123.0,2019-12-05 09:00:00,240.0,,RAYONIER FOREST RESOURCES LP RAYONIER FOREST RESOURCES LP,,PC20190145,,123.0,2019-12-04 00:00:00,,349.0,11N07W011,46.447152, -123.513382,2019,12,Approved,2019-12-05 00:00:00,PC
51,Neris Biciunas,8519,1.0,13327,199.0,,45.0,2019-12-05 08:00:00,240.0,,Rayonier Washington Timber Company Rayonier Washington Timber Company,,OL20190069,,45.0,2019-12-04 00:00:00,,195.0,26N13W746,47.715237, -124.366074,2019,12,Approved,2019-12-05 00:00:00,OL
52,Rick Welle,9591,,13314,156.0,,32.0,2019-12-05 08:00:00,120.0,,ORM TIMBER FUND IV (REIT) INC. ORM TIMBER FUND IV (REIT) INC.,,SP2019-0108,,32.0,2019-12-03 00:00:00,,156.0,DELTA DAWN,46.871888, -122.013238,2019,12,Approved,2019-12-05 00:00:00,SP
53,Rick Welle,9583,,13315,108.0,,16.0,2019-12-05 08:00:00,120.0,,ORM TIMBER FUND IV (REIT) INC. ORM TIMBER FUND IV (REIT) INC.,,SP2019-0100,,16.0,2019-12-03 00:00:00,,108.0,ACES HIGH,46.857711, -122.034615,2019,12,Approved,2019-12-05 00:00:00,SP
54,,9452,,13307,762.0,,101.0,2019-12-05 09:00:00,240.0,,SIERRA PACIFIC LAND AND TIMBER CO SIERRA PACIFIC LAND AND TIMBER CO,,NW20191055,,101.0,2019-12-03 00:00:00,,762.0,PITS,47.914658, -121.70155,2019,12,Approved,2019-12-05 00:00:00,NW
55,,9450,,13306,339.0,,26.0,2019-12-05 09:00:00,180.0,,SIERRA PACIFIC LAND AND TIMBER CO SIERRA PACIFIC LAND AND TIMBER CO,,NW20191053,,26.0,2019-12-03 00:00:00,,339.0,WEARY,47.842224, -121.745292,2019,12,Approved,2019-12-05 00:00:00,NW
56,Kevan Roberts,8974,,13277,127.0,,737.0,2019-11-26 10:00:00,240.0,,Wa Dnr Wa Dnr,,NE20190372,,450.0,2019-11-27 12:26:38,,95.0,WRIGHT FIT PILES,48.431249, -119.701561,2019,11,,,NE
57,Aric Lemmon,8948,,13275,982.0,,104.0,2019-11-26 08:00:00,60.0,,Broughton Lumber Company Broughton Lumber Company,,SE20190058,,8.0,2019-11-27 07:44:16,,49.0,DUECE,45.804683, -121.373994,2019,11,,,SE
58,JON COLE,9743,,13164,387.0,,86.0,2019-11-26 08:00:00,60.0,,SDS LUMBER COMPANY SDS LUMBER COMPANY,,SE20190109,,18.0,2019-11-27 07:42:43,,80.0,STRONG ARM,45.94956, -121.457879,2019,11,,,SE
59,Aric Lemmon,9235,,13163,661.0,,146.0,2019-11-26 09:00:00,60.0,,Broughton Lumber Company Broughton Lumber Company,,SE20190071,,10.0,2019-11-27 07:41:19,,50.0,MOO,45.775249, -121.249747,2019,11,,,SE
60,Aric Lemmon,9140,,13162,768.0,,61.0,2019-11-26 08:00:00,60.0,,SDS LUMBER COMPANY SDS LUMBER COMPANY,,SE20190097,,10.0,2019-11-27 07:38:23,,99.0,SANBORN,45.774989, -121.456555,2019,11,,,SE
61,RYAN GORDON,9493,,13272,49.0,,20.0,2019-11-26 09:30:00,5.0,,GORDON RANCH LLC GORDON RANCH LLC,,SP2019-0115,,20.0,2019-11-26 00:00:00,,49.0,GORDON RANCH,46.785357, -122.876621,2019,11,Approved,2019-11-26 00:00:00,SP
62,NW NATURAL RESOURCE GROU,9221,,11074,30.0,,4.0,2019-11-26 09:30:00,5.0,,BRET ARSENAULT BRET ARSENAULT,,SE20190117,,4.0,2019-11-26 00:00:00,,30.0,ARSENAULT PILES,47.32675, -121.263406,2019,11,Approved,2019-11-26 00:00:00,SE
63,Brett Turner,9110,,11116,23.0,,101.0,2019-11-26 09:30:00,5.0,,HANCOCK FOREST MANAGEMENT,,NE20190484,,101.0,2019-11-26 00:00:00,,23.0,CROSS FACE,48.706228, -117.682975,2019,11,Approved,2019-11-26 00:00:00,NE
64,Jim Schleusner,9800,,13263,245.0,,50.0,2019-11-26 09:00:00,45.0,,HANCOCK FOREST MANAGEMENT HANCOCK FOREST MANAGEMENT,,SE20190081,,35.0,2019-11-25 09:31:55,,145.0,PENNY SK,45.920034, -121.165333,2019,11,Approved,2019-11-26 00:00:00,SE
65,JOSHUA SCHLEUSNER,9040,,13262,481.0,,80.0,2019-11-26 10:00:00,180.0,,HANCOCK FOREST MANAGEMENT HANCOCK FOREST MANAGEMENT,,SE20190080,,80.0,2019-11-25 09:30:53,,481.0,EMERALD MU,45.93529, -121.207797,2019,11,Approved,2019-11-26 00:00:00,SE
66,Ryan Dippel,9047,,13260,359.0,,52.0,2019-11-26 10:30:00,240.0,,Weyerhaeuser Co - Peell Weyerhaeuser Co - Peell,,PC20190407,,62.0,2019-11-25 07:41:34,,359.0,1080 RD,46.405573, -123.305194,2019,11,Approved,2019-11-26 00:00:00,PC
67,Ryan Dippel,9052,,13259,259.0,,76.0,2019-11-26 07:30:00,240.0,,Weyerhaeuser Co - Peell Weyerhaeuser Co - Peell,,PC20190412,,76.0,2019-11-25 07:39:57,,259.0,FORKS CREEK A 6400,46.505483, -123.409812,2019,11,Approved,2019-11-26 00:00:00,PC
68,Dennis Muller,9488,,10871,264.0,,70.0,2019-11-26 07:30:00,480.0,,PORT BLAKELY TREE FARMS L.P. Port Blakeley Tree Farm,,SP20190071,,50.0,2019-11-24 17:55:06,,180.0,MCIT,47.092155, -123.169589,2019,11,[Division] Approved,2019-11-26 00:00:00,SP
69,Jeffrey Curless,8700,,13253,138.0,,77.0,2019-11-26 07:30:00,300.0,,RAYONIER FOREST RESOURCES LP RAYONIER FOREST RESOURCES LP,,PC20190146,,77.0,2019-11-22 11:56:05,,135.0,11N06W172,46.434629, -123.368833,2019,11,Approved,2019-11-26 00:00:00,PC
70,Aric Lemmon,9233,,11117,804.0,,163.0,2019-11-25 09:00:00,60.0,,Broughton Lumber Company Broughton Lumber Company,,SE20190068,,20.0,2019-11-27 07:39:56,,99.0,CRULLER,45.760868, -121.578945,2019,11,,,SE
71,COLIN TOWNE,9797,,13265,35.0,,1.0,2019-11-25 09:30:00,5.0,,WEYERHAEUSER WEYERHAEUSER,,PC20190478,,1.0,2019-11-25 00:00:00,,35.0,VESTA H-1040B,46.874871, -123.493378,2019,11,Approved,2019-11-25 00:00:00,PC
72,COLIN TOWNE,9796,,13264,63.0,,1.0,2019-11-25 09:30:00,5.0,,WEYERHAEUSER WEYERHAEUSER,,PC20190477,,1.0,2019-11-25 00:00:00,,63.0,BUTTE CK. B-500,46.714566, -123.726571,2019,11,Approved,2019-11-25 00:00:00,PC
73,,8998,,11480,30.0,,4.0,2019-11-25 09:30:00,5.0,,"ANDERSON, BILL ANDERSON, BILL",,NE20190473,,4.0,2019-11-25 00:00:00,,30.0,,48.532968, -117.813539,2019,11,Approved,2019-11-25 00:00:00,NE
74,,8997,,11479,30.0,,1.0,2019-11-25 09:30:00,5.0,,HOWLAND FAMILY TRUST HOWLAND FAMILY TRUST,,NE20190467,,1.0,2019-11-25 00:00:00,,30.0,,48.814423, -117.701465,2019,11,Approved,2019-11-25 00:00:00,NE
75,,8993,,11351,30.0,,9.0,2019-11-25 09:30:00,5.0,,"KING, DAVID W KING, DAVID W",,NE20190461,,9.0,2019-11-25 00:00:00,,30.0,,48.517867, -118.184435,2019,11,Approved,2019-11-25 00:00:00,NE
76,Jim Schleusner,9800,,13258,245.0,,50.0,2019-11-25 12:00:00,60.0,,HANCOCK FOREST MANAGEMENT HANCOCK FOREST MANAGEMENT,,SE20190081,,35.0,2019-11-22 13:33:26,,145.0,PENNY SK,45.920034, -121.165333,2019,11,Approved,2019-11-25 00:00:00,SE
77,JOSHUA SCHLEUSNER,9040,,13257,481.0,,80.0,2019-11-25 09:00:00,180.0,,HANCOCK FOREST MANAGEMENT HANCOCK FOREST MANAGEMENT,,SE20190080,,80.0,2019-11-22 13:32:16,,481.0,EMERALD MU,45.93529, -121.207797,2019,11,Approved,2019-11-25 00:00:00,SE
78,Dennis Muller,9391,,11799,181.0,,119.0,2019-11-25 07:00:00,480.0,,PORT BLAKELY TREE FARMS L.P. Port Blakeley Tree Farm,,PC20190229,,119.0,2019-11-22 11:49:06,,181.0,MAINLINER,46.436456, -122.230388,2019,11,Approved,2019-11-25 00:00:00,PC
79,Jeffrey Curless,8702,,11797,327.0,,151.0,2019-11-25 09:00:00,300.0,,RAYONIER FOREST RESOURCES LP RAYONIER FOREST RESOURCES LP,,PC20190144,,150.0,2019-11-22 10:54:22,,320.0,11N07W116,46.447015, -123.554843,2019,11,Approved,2019-11-25 00:00:00,PC
80,Aric Lemmon,9140,,11795,768.0,,61.0,2019-11-25 08:00:00,180.0,,SDS LUMBER COMPANY SDS LUMBER COMPANY,,SE20190097,,27.0,2019-11-22 09:37:45,,372.0,SANBORN,45.774989, -121.456555,2019,11,Approved,2019-11-25 00:00:00,SE
81,Steve Loy,8965,,11791,401.0,,40.0,2019-11-25 08:00:00,180.0,,GREEN DIAMOND RESOURCES COMPANY GREEN DIAMOND RESOURCES COMPANY,,OL20190197,,30.0,2019-11-22 08:30:29,,302.0,WW088,47.337964, -123.686296,2019,11,Approved,2019-11-25 00:00:00,OL
82,Joe Berry,9830,,11788,1064.0,,49.0,2019-11-25 07:00:00,240.0,,Pacificorp Pacificorp,,PC20190433,,49.0,2019-11-22 07:03:47,,1064.0,PACIFICORP UNIT 34,46.120719, -122.132401,2019,11,Approved,2019-11-25 00:00:00,PC
83,Lance vanderpool,9507,,10868,292.0,,103.0,2019-11-25 07:30:00,120.0,,RH EMERSON AND SONS LLC RH EMERSON AND SONS LLC,,PC20190300,,103.0,2019-11-21 12:53:38,,291.0,SHEPARDS PIE RHE- MCKEE RD,46.235313, -122.979073,2019,11,Approved,2019-11-25 00:00:00,PC
84,Dennis Muller,9488,,10588,264.0,,70.0,2019-11-25 07:30:00,480.0,,PORT BLAKELY TREE FARMS L.P. Port Blakeley Tree Farm,,SP20190071,,70.0,2019-11-19 09:03:09,,260.0,MCIT,47.092155, -123.169589,2019,11,[Division] Approved,2019-11-25 00:00:00,SP
85,Steve Loy,8129,,11790,260.0,,28.0,2019-11-23 11:00:00,180.0,,GREEN DIAMOND RESOURCES COMPANY GREEN DIAMOND RESOURCES COMPANY,,OL20190111,,28.0,2019-11-22 08:17:50,,260.0,WW114,47.23231, -123.662749,2019,11,[Division] Approved,2019-11-23 00:00:00,OL
86,Steve Loy,8128,,11789,386.0,,43.0,2019-11-23 08:00:00,150.0,,GREEN DIAMOND RESOURCES COMPANY GREEN DIAMOND RESOURCES COMPANY,,OL20190110,,32.0,2019-11-22 08:09:52,,288.0,WW105,47.366943, -123.643665,2019,11,[Division] Approved,2019-11-23 00:00:00,OL
87,Steve DeLong,9702,,10857,145.0,,50.0,2019-11-23 10:30:00,30.0,,"ROBERGE, EDWARD R. ROBERGE, EDWARD R.",,NE20190397,,50.0,2019-11-20 14:16:53,,145.0,,48.026324, -117.618747,2019,11,[Division] Approved,2019-11-23 00:00:00,NE
88,Steve DeLong,9701,,10854,161.0,,50.0,2019-11-23 10:00:00,30.0,,"HAYES, HAROLD H. HAYES, HAROLD H.",,NE20190396,,50.0,2019-11-20 14:15:30,,161.0,HAYES,48.026324, -117.618747,2019,11,Denied,2019-11-23 00:00:00,NE
89,Steve DeLong,9785,,10851,224.0,,60.0,2019-11-23 09:00:00,30.0,,"HUNT, GEORGE P. HUNT, GEORGE P.",,NE20190395,,60.0,2019-11-20 14:14:08,,224.0,,48.026324, -117.618747,2019,11,Denied,2019-11-23 00:00:00,NE
90,Brett Turner,8988,,11162,43.0,,44.0,2019-11-22 09:30:00,5.0,,HANCOCK FOREST MANAGEMENT,,NE20190453,,44.0,2019-11-25 00:00:00,,43.0,,48.128495, -117.941099,2019,11,Approved,2019-11-25 00:00:00,NE
91,Steve Loy,8965,,10866,401.0,,40.0,2019-11-22 10:30:00,240.0,,GREEN DIAMOND RESOURCES COMPANY GREEN DIAMOND RESOURCES COMPANY,,OL20190197,,30.0,2019-11-21 10:38:12,,302.0,WW088,47.337964, -123.686296,2019,11,Denied,2019-11-22 00:00:00,OL
92,Steve Loy,8128,,10865,386.0,,43.0,2019-11-22 08:00:00,90.0,,GREEN DIAMOND RESOURCES COMPANY GREEN DIAMOND RESOURCES COMPANY,,OL20190110,,32.0,2019-11-21 10:35:28,,288.0,WW105,47.366943, -123.643665,2019,11,Approved,2019-11-22 00:00:00,OL
