Incident Name,Incident Number,Classification,Region,County,Final Total Acres,Type of Date,General Cause,Specific Cause,Specific Sub Cause,Date,Time
CHILDRENS AVE,23,Classified,NORTHWEST,Island County,0.1,First Attack,Children,Children 10-18,Incendiary,06/01/20,12:23
FALSE LITTLE TWINS,878,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/01/20,13:57
FALSE PINE,877,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,06/01/20,9:19
HUTCHINS,48,Classified,SOUTHEAST,Kittitas County,,Started,Lightning,None,None,06/01/20,12:55
NORTH POINT,39,Classified,SO PUGET,Pierce County,0.1,First Attack,Recreation,Camper,Campfire,06/01/20,16:35
NORTH POINT,39,Classified,SO PUGET,Pierce County,0.1,Started,Recreation,Camper,Campfire,06/01/20,16:35
PEACHCREST TRACKS,198,Classified,NORTHEAST,Stevens County,0.1,Started,Railroad,Carbon from engine/speeder exhaust,None,06/01/20,15:30
PEACHCREST TRACKS,198,Classified,NORTHEAST,Stevens County,0.1,First Attack,Railroad,Carbon from engine/speeder exhaust,None,06/01/20,15:56
SMITH CREEK,199,Classified,NORTHEAST,Stevens County,0.01,Started,Miscellaneous,Power Line,None,06/01/20,16:20
SMITH CREEK,199,Classified,NORTHEAST,Stevens County,0.01,First Attack,Miscellaneous,Power Line,None,06/01/20,16:56
SOUTH FORK NEWAUKUM,816,False Alarm,PACIFIC CASC,Lewis County,,Started,Undetermined,None,None,06/01/20,5:50
TAHOMA CAMP,32,Classified,SO PUGET,Pierce County,0.1,Started,Recreation,Camper,Campfire,06/01/20,13:08
TAHOMA CAMP,32,Classified,SO PUGET,Pierce County,0.1,First Attack,Recreation,Camper,Campfire,06/01/20,13:46
TWIN LAKES,197,Classified,NORTHEAST,Lincoln County,1,Started,Under Investigation,None,None,06/01/20,13:04
UMTANUM,49,Classified,SOUTHEAST,Yakima County,,Started,Lightning,None,None,06/01/20,14:45
BARKER,193,Classified,NORTHEAST,Okanogan County,0.1,First Attack,Lightning,None,None,05/31/20,9:25
BASIN,879,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,05/31/20,15:00
COYOTE,194,Classified,NORTHEAST,Spokane County,0.1,First Attack,Miscellaneous,Power Line,None,05/31/20,7:30
COYOTE,194,Classified,NORTHEAST,Spokane County,0.1,Started,Miscellaneous,Power Line,None,05/31/20,5:30
FALSE SPOTTED,875,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,05/31/20,16:55
GIBBON,47,Classified,SOUTHEAST,Benton County,,Started,Debris Burning,None,None,05/31/20,16:03
NO BANG,876,False Alarm,NORTHEAST,Ferry County,,Started,Undetermined,None,None,05/31/20,18:56
STANDING TREE,45,Classified,SOUTHEAST,Klickitat County,0.1,First Attack,Lightning,None,None,05/31/20,12:00
BARKER,193,Classified,NORTHEAST,Okanogan County,0.1,Started,Lightning,None,None,05/30/20,19:30
CAT,192,Classified,NORTHEAST,Okanogan County,0.06,Started,Debris Burning,None,None,05/30/20,15:43
CAT,192,Classified,NORTHEAST,Okanogan County,0.06,First Attack,Debris Burning,None,None,05/30/20,16:21
CEDONIA TREE,195,Classified,NORTHEAST,Stevens County,0.01,Started,Lightning,None,None,05/30/20,17:00
CLAY,44,Classified,SOUTHEAST,Yakima County,0.01,Started,Lightning,None,None,05/30/20,19:06
CLAY,44,Classified,SOUTHEAST,Yakima County,0.01,First Attack,Lightning,None,None,05/30/20,19:07
FALSE DEEP LAKE,874,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,05/30/20,9:58
MARSH UNIT 3,46,Classified,SOUTHEAST,Adams County,,Started,Lightning,None,None,05/30/20,13:22
MEYER RANCH,196,Classified,NORTHEAST,Okanogan County,0.1,Started,Lightning,None,None,05/30/20,19:30
STANDING TREE,45,Classified,SOUTHEAST,Klickitat County,0.1,Started,Lightning,None,None,05/30/20,20:06
YALE PILE ,191,Classified,NORTHEAST,Spokane County,0.1,Started,Debris Burning,None,None,05/30/20,14:18
YALE PILE ,191,Classified,NORTHEAST,Spokane County,0.1,First Attack,Debris Burning,None,None,05/30/20,14:43
FALSE BLANCHARD ,872,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,05/29/20,12:09
FALSE WELL,873,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,05/29/20,14:27
HOUK,188,Classified,NORTHEAST,Spokane County,0.01,First Attack,Recreation,Other,Campfire,05/29/20,9:43
LACY LANE,189,Classified,NORTHEAST,Stevens County,0.01,Started,Debris Burning,None,None,05/29/20,9:43
LACY LANE,189,Classified,NORTHEAST,Stevens County,0.01,First Attack,Debris Burning,None,None,05/29/20,10:07
MIDWAY BRIDGE,203,Classified,NORTHEAST,Ferry County,0.17,Started,Lightning,None,None,05/29/20,20:00
PETERSON,190,Classified,NORTHEAST,Stevens County,0.75,Started,Debris Burning,None,None,05/29/20,15:29
BAKER,187,Classified,NORTHEAST,Pend Oreille County,0.35,First Attack,Under Investigation,None,None,05/28/20,15:52
BAKER,187,Classified,NORTHEAST,Pend Oreille County,0.35,Started,Under Investigation,None,None,05/28/20,15:30
CRESCENT ,185,Classified,NORTHEAST,Spokane County,0.01,First Attack,Miscellaneous,Vehicle Fire,None,05/28/20,11:47
CRESCENT ,185,Classified,NORTHEAST,Spokane County,0.01,Started,Miscellaneous,Vehicle Fire,None,05/28/20,11:26
HIGHWAY PILE,871,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,05/28/20,14:57
HOUK,188,Classified,NORTHEAST,Spokane County,0.01,Started,Recreation,Other,Campfire,05/28/20,20:30
HUTCH CREEK,22,Classified,NORTHWEST,Whatcom County,0.1,First Attack,Recreation,Camper,Campfire,05/28/20,9:12
HUTCH CREEK,22,Classified,NORTHWEST,Whatcom County,0.1,Started,Recreation,Camper,Campfire,05/28/20,9:12
WOODS,186,Classified,NORTHEAST,Stevens County,1,First Attack,Debris Burning,None,None,05/28/20,13:43
WOODS,186,Classified,NORTHEAST,Stevens County,1,Started,Debris Burning,None,None,05/28/20,12:00
KAMILCHE SHORES,31,Classified,SO PUGET,Mason County,0.1,First Attack,Debris Burning,None,None,05/27/20,15:10
KAMILCHE SHORES,31,Classified,SO PUGET,Mason County,0.1,Started,Debris Burning,None,None,05/27/20,14:46
NOSCHKA RD,30,Classified,SO PUGET,Thurston County,0.25,Started,Debris Burning,None,None,05/27/20,14:17
NOSCHKA RD,30,Classified,SO PUGET,Thurston County,0.25,First Attack,Debris Burning,None,None,05/27/20,14:38
ONION,870,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,05/27/20,18:23
WEST CRAIG,184,Classified,NORTHEAST,Spokane County,0.1,Started,Under Investigation,None,None,05/27/20,17:31
ANTOINE VALLEY,183,Classified,NORTHEAST,Okanogan County,0.5,First Attack,Under Investigation,None,None,05/26/20,19:20
ANTOINE VALLEY,183,Classified,NORTHEAST,Okanogan County,0.5,Started,Under Investigation,None,None,05/26/20,17:30
KUEHNE ROAD,182,Classified,NORTHEAST,Ferry County,,Started,Undetermined,None,None,05/26/20,15:22
FALSE RIVER,869,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,05/24/20,11:12
LOOWIT ACCESS,815,False Alarm,PACIFIC CASC,Skamania County,,Started,Undetermined,None,None,05/23/20,14:30
UNION,43,Classified,SOUTHEAST,Chelan County,23,Started,Debris Burning,None,None,05/23/20,14:28
UNION,43,Classified,SOUTHEAST,Chelan County,23,First Attack,Debris Burning,None,None,05/23/20,14:24
RIMROCK,42,Classified,SOUTHEAST,Klickitat County,0.01,First Attack,Undetermined,None,None,05/22/20,17:45
RIMROCK,42,Classified,SOUTHEAST,Klickitat County,0.01,Started,Undetermined,None,None,05/22/20,17:30
CONK,180,Classified,NORTHEAST,Spokane County,0.01,Started,Miscellaneous,Power Line,None,05/21/20,17:15
CONK,180,Classified,NORTHEAST,Spokane County,0.01,First Attack,Miscellaneous,Power Line,None,05/21/20,17:59
FORKER PILE,181,Classified,NORTHEAST,Spokane County,0.1,Started,Debris Burning,None,None,05/21/20,18:00
FORKER PILE,181,Classified,NORTHEAST,Spokane County,0.1,First Attack,Debris Burning,None,None,05/21/20,19:13
HORIZON FLATS,179,Classified,NORTHEAST,Okanogan County,0.08,Started,Debris Burning,None,None,05/20/20,15:00
HORIZON FLATS,179,Classified,NORTHEAST,Okanogan County,0.08,First Attack,Debris Burning,None,None,05/20/20,15:30
LAKE,41,Classified,SOUTHEAST,Klickitat County,0.25,Started,Debris Burning,None,None,05/20/20,17:54
LAKE,41,Classified,SOUTHEAST,Klickitat County,0.25,First Attack,Debris Burning,None,None,05/20/20,18:06
WEST SUN EAST,40,Classified,SOUTHEAST,Kittitas County,0.27,Started,Debris Burning,None,None,05/20/20,14:32
WEST SUN EAST,40,Classified,SOUTHEAST,Kittitas County,0.27,First Attack,Debris Burning,None,None,05/20/20,15:44
FALSE BARKER,867,False Alarm,NORTHEAST,Pend Oreille County,,Started,Undetermined,None,None,05/18/20,13:11
FALSE BOUNDARY,868,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,05/18/20,15:47
RICKEY STRIKE,178,Classified,NORTHEAST,Stevens County,0.01,First Attack,Lightning,None,None,05/18/20,10:45
ROLLER COASTER,39,Classified,SOUTHEAST,Chelan County,0.1,Started,Miscellaneous,Burning material from auto (other than thrown),None,05/18/20,2:30
ROLLER COASTER,39,Classified,SOUTHEAST,Chelan County,0.1,First Attack,Miscellaneous,Burning material from auto (other than thrown),None,05/18/20,12:30
FORKER LANE,177,Classified,NORTHEAST,Spokane County,0.01,Started,Lightning,None,None,05/17/20,17:20
FORKER LANE,177,Classified,NORTHEAST,Spokane County,0.01,First Attack,Lightning,None,None,05/17/20,19:38
RICKEY STRIKE,178,Classified,NORTHEAST,Stevens County,0.01,Started,Lightning,None,None,05/17/20,22:00
BOBS MOUNTAIN,814,False Alarm,PACIFIC CASC,Skamania County,,Started,Undetermined,None,None,05/15/20,16:00
BROOKS,29,Classified,SO PUGET,Pierce County,0.1,Started,Undetermined,None,None,05/15/20,11:36
BROOKS,29,Classified,SO PUGET,Pierce County,0.1,First Attack,Undetermined,None,None,05/15/20,12:51
FALSE HIGH DRIVE,866,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,05/15/20,16:47
MOORE,175,Classified,NORTHEAST,Spokane County,0.01,First Attack,Debris Burning,None,None,05/15/20,13:43
MOORE,175,Classified,NORTHEAST,Spokane County,0.01,Started,Debris Burning,None,None,05/15/20,11:30
TALKIRE CAMPER,176,Classified,NORTHEAST,Okanogan County,0.01,Started,Under Investigation,None,None,05/15/20,15:31
TALKIRE CAMPER,176,Classified,NORTHEAST,Okanogan County,0.01,First Attack,Under Investigation,None,None,05/15/20,15:44
COEUR D'ALENE,174,Classified,NORTHEAST,Spokane County,0.01,Started,Recreation,Camper,Campfire,05/14/20,15:00
COEUR D'ALENE,174,Classified,NORTHEAST,Spokane County,0.01,First Attack,Recreation,Camper,Campfire,05/14/20,15:20
ROCKY FLAT,38,Classified,SOUTHEAST,Klickitat County,0.01,Started,Miscellaneous,Vehicle Fire,None,05/14/20,8:24
ROCKY FLAT,38,Classified,SOUTHEAST,Klickitat County,0.01,First Attack,Miscellaneous,Vehicle Fire,None,05/14/20,11:00
FALSE OREGON,864,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,05/13/20,12:50
FALSE VAN SCHELDEN,865,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,05/13/20,12:29
MEDICAL LAKE FOUR LAKES,173,Classified,NORTHEAST,Spokane County,0.01,First Attack,Under Investigation,None,None,05/13/20,13:05
MEDICAL LAKE FOUR LAKES,173,Classified,NORTHEAST,Spokane County,0.01,Started,Under Investigation,None,None,05/13/20,12:30
PINE HILL,172,Classified,NORTHEAST,Stevens County,0.1,Started,Debris Burning,None,None,05/12/20,19:00
PINE HILL,172,Classified,NORTHEAST,Stevens County,0.1,First Attack,Debris Burning,None,None,05/12/20,19:30
DISHMAN KNOB,169,Classified,NORTHEAST,Spokane County,0.01,First Attack,Recreation,Camper,Campfire,05/11/20,9:07
FURZEE,170,Classified,NORTHEAST,Stevens County,0.01,First Attack,Debris Burning,None,None,05/11/20,11:25
FURZEE,170,Classified,NORTHEAST,Stevens County,0.01,Started,Debris Burning,None,None,05/11/20,11:00
OLD KETTLE,863,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,05/11/20,10:25
RIVERSIDE ,171,Classified,NORTHEAST,Spokane County,0.03,Started,Recreation,Camper,Campfire,05/11/20,13:20
RIVERSIDE ,171,Classified,NORTHEAST,Spokane County,0.03,First Attack,Recreation,Camper,Campfire,05/11/20,13:51
CAPITAL RIDGE,168,Classified,NORTHEAST,Stevens County,0.01,Started,Miscellaneous,Vehicle Fire,None,05/10/20,10:55
CAPITAL RIDGE,168,Classified,NORTHEAST,Stevens County,0.01,First Attack,Miscellaneous,Vehicle Fire,None,05/10/20,10:58
COLONY PEAK,24,Classified,SO PUGET,Mason County,0.3,First Attack,Undetermined,None,None,05/10/20,18:40
COLONY PEAK,24,Classified,SO PUGET,Mason County,0.3,Started,Undetermined,None,None,05/10/20,18:28
DISHMAN KNOB,169,Classified,NORTHEAST,Spokane County,0.01,Started,Recreation,Camper,Campfire,05/10/20,20:20
LITTLE CATTLE,37,Classified,SOUTHEAST,Klickitat County,0.1,Started,Debris Burning,None,None,05/10/20,19:45
LITTLE CATTLE,37,Classified,SOUTHEAST,Klickitat County,0.1,First Attack,Debris Burning,None,None,05/10/20,20:36
LOST PRAIRIE,25,Classified,SO PUGET,Mason County,0.1,Started,Undetermined,None,None,05/10/20,17:15
LOST PRAIRIE,25,Classified,SO PUGET,Mason County,0.1,First Attack,Undetermined,None,None,05/10/20,17:45
RED BUTTE,36,Classified,SOUTHEAST,Yakima County,4.76,Started,Recreation,Other,Other,05/10/20,13:04
RED BUTTE,36,Classified,SOUTHEAST,Yakima County,4.76,First Attack,Recreation,Other,Other,05/10/20,13:43
BOULDER SPRINGS,35,Classified,SOUTHEAST,Klickitat County,0.15,Started,Undetermined,None,None,05/09/20,18:46
BOULDER SPRINGS,35,Classified,SOUTHEAST,Klickitat County,0.15,First Attack,Undetermined,None,None,05/09/20,19:10
FALSE DAVIS,862,False Alarm,NORTHEAST,Pend Oreille County,,Started,Undetermined,None,None,05/09/20,14:23
Highbridge Road,19,Classified,PACIFIC CASC,Skamania County,0.46,Started,Miscellaneous,Power Line,None,05/09/20,13:32
Highbridge Road,19,Classified,PACIFIC CASC,Skamania County,0.46,First Attack,Miscellaneous,Power Line,None,05/09/20,14:33
LINCOLN,28,Classified,SO PUGET,Mason County,0.1,First Attack,Debris Burning,None,None,05/09/20,19:45
LINCOLN,28,Classified,SO PUGET,Mason County,0.1,Started,Debris Burning,None,None,05/09/20,19:30
MP 221,807,False Alarm,NORTHWEST,Skagit County,,Started,Undetermined,None,None,05/09/20,14:24
OVERLAND TRAIL ,27,Classified,SO PUGET,Mason County,0.1,Started,Miscellaneous,Vehicle Fire,None,05/09/20,13:00
OVERLAND TRAIL ,27,Classified,SO PUGET,Mason County,0.1,First Attack,Miscellaneous,Vehicle Fire,None,05/09/20,14:15
SCHOOL ROAD,26,Classified,SO PUGET,Mason County,0.1,First Attack,Debris Burning,None,None,05/09/20,17:15
SCHOOL ROAD,26,Classified,SO PUGET,Mason County,0.1,Started,Debris Burning,None,None,05/09/20,17:15
FENCE LINE,34,Classified,SOUTHEAST,Kittitas County,0.1,First Attack,Recreation,Day Use,Other,05/08/20,17:00
FENCE LINE,34,Classified,SOUTHEAST,Kittitas County,0.1,Started,Recreation,Day Use,Other,05/08/20,15:23
MAIN LINE,806,False Alarm,NORTHWEST,Whatcom County,,Started,Undetermined,None,None,05/08/20,9:29
SLASH #4,23,Classified,SO PUGET,Mason County,0.1,Started,Debris Burning,None,None,05/08/20,15:22
SLASH #4,23,Classified,SO PUGET,Mason County,0.1,First Attack,Debris Burning,None,None,05/08/20,15:02
SOUTH IDAHO,167,Classified,NORTHEAST,Spokane County,0.01,Started,Debris Burning,None,None,05/07/20,9:45
SOUTH IDAHO,167,Classified,NORTHEAST,Spokane County,0.01,First Attack,Debris Burning,None,None,05/07/20,11:52
ESMERALDA,166,Classified,NORTHEAST,Spokane County,0.01,First Attack,Undetermined,None,None,05/06/20,12:04
ESMERALDA,166,Classified,NORTHEAST,Spokane County,0.01,Started,Undetermined,None,None,05/06/20,11:19
SANDPIPER,164,Classified,NORTHEAST,Spokane County,1,Started,Arson,Other,None,05/06/20,2:00
SANDPIPER,164,Classified,NORTHEAST,Spokane County,1,First Attack,Arson,Other,None,05/06/20,5:45
BYRNE,165,Classified,NORTHEAST,Spokane County,0.1,Started,Debris Burning,None,None,05/05/20,21:00
BYRNE,165,Classified,NORTHEAST,Spokane County,0.1,First Attack,Debris Burning,None,None,05/05/20,22:45
EVANS,20,Classified,SO PUGET,Pierce County,0.1,First Attack,Recreation,Camper,Campfire,05/05/20,11:20
EVANS,20,Classified,SO PUGET,Pierce County,0.1,Started,Recreation,Camper,Campfire,05/05/20,11:20
FALSE PINGSTON,860,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,05/05/20,8:00
HAY CANYON,33,Classified,SOUTHEAST,Chelan County,18,Started,Miscellaneous,Firearms,Other,05/05/20,12:14
HAY CANYON,33,Classified,SOUTHEAST,Chelan County,18,First Attack,Miscellaneous,Firearms,Other,05/05/20,13:00
LAKE VIEW,162,Classified,NORTHEAST,Stevens County,0.01,First Attack,Debris Burning,None,None,05/05/20,14:08
LAKE VIEW,162,Classified,NORTHEAST,Stevens County,0.01,Started,Debris Burning,None,None,05/05/20,13:45
LITTLE BRIDGE,163,Classified,NORTHEAST,Lincoln County,0.01,Started,Miscellaneous,Burning material from auto (other than thrown),None,05/05/20,18:15
LITTLE BRIDGE,163,Classified,NORTHEAST,Lincoln County,0.01,First Attack,Miscellaneous,Burning material from auto (other than thrown),None,05/05/20,19:30
PLUM ONE,21,Classified,SO PUGET,Pierce County,0.1,Started,Recreation,Camper,Campfire,05/05/20,12:30
PLUM ONE,21,Classified,SO PUGET,Pierce County,0.1,First Attack,Recreation,Camper,Campfire,05/05/20,12:30
PLUM TWO,22,Classified,SO PUGET,Pierce County,0.1,Started,Recreation,Day Use,Campfire,05/05/20,13:00
PLUM TWO,22,Classified,SO PUGET,Pierce County,0.1,First Attack,Recreation,Day Use,Campfire,05/05/20,13:00
PORCUPINE BAY,160,Classified,NORTHEAST,Lincoln County,0.01,First Attack,Debris Burning,None,None,05/05/20,9:57
VOIGHT RIDGE,19,Classified,SO PUGET,Pierce County,0.1,First Attack,Recreation,Camper,Campfire,05/05/20,13:30
ALPINE LANE,161,Classified,NORTHEAST,Okanogan County,0.46,Started,Under Investigation,None,None,05/04/20,14:30
ALPINE LANE,161,Classified,NORTHEAST,Okanogan County,0.46,First Attack,Under Investigation,None,None,05/04/20,15:50
CANYON CREEK,811,False Alarm,PACIFIC CASC,Skamania County,,Started,Undetermined,None,None,05/04/20,9:13
JUDKINS,859,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,05/04/20,10:44
EAGLE LANE,156,Classified,NORTHEAST,Pend Oreille County,0.1,First Attack,Debris Burning,None,None,05/03/20,9:38
LITTLE VULCAN,858,False Alarm,NORTHEAST,Ferry County,,Started,Undetermined,None,None,05/03/20,18:40
PORCUPINE BAY,160,Classified,NORTHEAST,Lincoln County,0.01,Started,Debris Burning,None,None,05/03/20,13:00
ROCKY,159,Classified,NORTHEAST,Stevens County,0.1,Started,Debris Burning,None,None,05/03/20,16:30
ROCKY,159,Classified,NORTHEAST,Stevens County,0.1,First Attack,Debris Burning,None,None,05/03/20,19:30
STONE STRIKE,157,Classified,NORTHEAST,Okanogan County,0.1,First Attack,Lightning,None,None,05/03/20,12:10
WOODSPUR,861,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,05/03/20,15:45
BANNON STRIKEOUT,856,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,05/02/20,22:00
CHIEF JOSEPH STRIKE,155,Classified,NORTHEAST,Okanogan County,0.1,First Attack,Lightning,None,None,05/02/20,21:00
CHIEF JOSEPH STRIKE,155,Classified,NORTHEAST,Okanogan County,0.1,Started,Lightning,None,None,05/02/20,20:00
EAGLE LANE,156,Classified,NORTHEAST,Pend Oreille County,0.1,Started,Debris Burning,None,None,05/02/20,22:00
NEALEY,855,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,05/02/20,20:00
OLD ARGONNE,158,Classified,NORTHEAST,Spokane County,0.1,Started,Miscellaneous,Power Line,None,05/02/20,14:30
OLD ARGONNE,158,Classified,NORTHEAST,Spokane County,0.1,First Attack,Miscellaneous,Power Line,None,05/02/20,15:00
OPEN SKIES,857,False Alarm,NORTHEAST,Pend Oreille County,,Started,Undetermined,None,None,05/02/20,19:30
STONE STRIKE,157,Classified,NORTHEAST,Okanogan County,0.1,Started,Lightning,None,None,05/02/20,19:30
VOIGHT RIDGE,19,Classified,SO PUGET,Pierce County,0.1,Started,Recreation,Camper,Campfire,05/02/20,12:00
BLUFF,154,Classified,NORTHEAST,Spokane County,0.01,First Attack,Miscellaneous,Other,None,05/01/20,16:17
BLUFF,154,Classified,NORTHEAST,Spokane County,0.01,Started,Miscellaneous,Other,None,05/01/20,16:01
BOYLES ROAD,854,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,05/01/20,21:00
FALSE BAKER,853,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,05/01/20,14:48
GOLF RIVER,153,Classified,NORTHEAST,Spokane County,0.1,Started,Undetermined,None,None,05/01/20,12:50
GOLF RIVER,153,Classified,NORTHEAST,Spokane County,0.1,First Attack,Undetermined,None,None,05/01/20,13:19
NAFF,152,Classified,NORTHEAST,Stevens County,0.01,Started,Miscellaneous,Power Line,None,05/01/20,12:00
NAFF,152,Classified,NORTHEAST,Stevens County,0.01,First Attack,Miscellaneous,Power Line,None,05/01/20,12:34
WIDOW HAWK,852,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,05/01/20,13:07
1100 RD,810,False Alarm,PACIFIC CASC,Clark County,,Started,Undetermined,None,None,04/30/20,11:26
ELL LAKE,149,Classified,NORTHEAST,Okanogan County,0.2,Started,Under Investigation,None,None,04/30/20,11:00
ELL LAKE,149,Classified,NORTHEAST,Okanogan County,0.2,First Attack,Under Investigation,None,None,04/30/20,12:11
GEIGER,151,Classified,NORTHEAST,Spokane County,0.1,Started,Undetermined,None,None,04/30/20,18:15
GEIGER,151,Classified,NORTHEAST,Spokane County,0.1,First Attack,Undetermined,None,None,04/30/20,18:51
MORAN,150,Classified,NORTHEAST,Stevens County,0.9,Started,Debris Burning,None,None,04/30/20,15:25
MORAN,150,Classified,NORTHEAST,Stevens County,0.9,First Attack,Debris Burning,None,None,04/30/20,15:27
PHILPOTT HILL,851,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,04/30/20,17:07
ACCESS,32,Classified,SOUTHEAST,Yakima County,1,Started,Undetermined,None,None,04/29/20,17:28
ACCESS,32,Classified,SOUTHEAST,Yakima County,1,First Attack,Undetermined,None,None,04/29/20,17:45
MITCHELL HEIGHTS,148,Classified,NORTHEAST,Stevens County,1.5,First Attack,Miscellaneous,Power Line,None,04/29/20,17:13
MITCHELL HEIGHTS,148,Classified,NORTHEAST,Stevens County,1.5,Started,Miscellaneous,Power Line,None,04/29/20,16:40
WILLOW,31,Classified,SOUTHEAST,Klickitat County,0.1,Started,Undetermined,None,None,04/29/20,17:11
WILLOW,31,Classified,SOUTHEAST,Klickitat County,0.1,First Attack,Undetermined,None,None,04/29/20,17:15
AARDVARK,143,Classified,NORTHEAST,Spokane County,0.5,Started,Miscellaneous,Vehicle Fire,None,04/28/20,0:50
AARDVARK,143,Classified,NORTHEAST,Spokane County,0.5,First Attack,Miscellaneous,Vehicle Fire,None,04/28/20,8:49
GRAVEL,146,Classified,NORTHEAST,Spokane County,0.1,Started,Children,Children 3-9,Playing With Fire,04/28/20,14:15
GRAVEL,146,Classified,NORTHEAST,Spokane County,0.1,First Attack,Children,Children 3-9,Playing With Fire,04/28/20,14:43
