OBJECTID,FIREEVENT_ID,INCIDENT_NO,INCIDENT_NM,INCIDENT_ID,COUNTY_LABEL_NM,FIRE_TWP_WHOLE_NO,FIRE_TWP_FRACT_NO,FIRE_RGE_WHOLE_NO,FIRE_RGE_FRACT_NO,FIRE_RGE_DIR_FLG,FIRE_SECT_NO,SITE_ELEV,FIREGCAUSE_LABEL_NM,FIRESCAUSE_LABEL_NM,BURNESCAPE_RSN_LABEL_NM,ACRES_BURNED,START_DT,START_TM,DSCVR_DT,DSCVR_TM,CONTROL_DT,CONTROL_TM,FIRE_OUT_DT,FIRE_OUT_TM,BURN_MERCH_AREA,BURN_REPROD_AREA,BURN_NONSTOCK_AREA,FIREEVNT_CLASS_CD,FIREEVNT_CLASS_LABEL_NM,SECTION_SUBDIV_PTS_ID,LAT_COORD,LON_COORD,RES_ORDER_NO,NON_DNR_RES_ORDER_NO,START_OWNER_AGENCY_NM,START_JURISDICTION_AGENCY_NM,SHAPE,PROTECTION_TYPE,REGION_NAME
5134,13699,1504,Yakima Inc No. 10184001,13841,YAKIMA,11,0,16,0,E,12,0,Debris Burn,None,<Null>,5,7/3/10,1258,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,830734,46.45701,-120.76316,<Null>,WA-YKCN-229,Other Government,WA Fire Service,Point,DNR Assist Other Agency,SOUTHEAST
5236,13685,1503,Canteen No. 3,13827,YAKIMA,16,0,15,0,E,4,0,Recreation,Day Use,<Null>,0.25,7/3/10,801,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,835764,46.90076,-120.95644,<Null>,WA-OWF-226,Federal,Federal,Point,DNR Assist Other Agency,SOUTHEAST
1384,13661,870,ROBERTS ROAD,13803,PEND OREILLE,30,0,43,0,E,22,<Null>,Undetermined,None,<Null>,0,7/3/10,945,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,596669,48.08422,-117.3629,<Null>,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
11454,14370,804,Bower,14512,CLARK,5,0,3,0,E,17,<Null>,Undetermined,None,<Null>,0,7/3/10,1550,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,358743,45.917283,-122.462471,WA-PCS-0804,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,PACIFIC CASC
7224,13682,5,Sauk Island,13824,SNOHOMISH,32,0,9,0,E,24,526,Recreation,Day Use,<Null>,0.5,7/3/10,1800,7/3/10,2300,7/4/10,1730,7/20/10,1302,<Null>,<Null>,<Null>,1,Classified,712455,48.24277,-121.5856,WA-NWS-0005,<Null>,DNR,DNR,Point,DNR Protection FFPA,NORTHWEST
1805,14319,16,Ocean Fire,14461,GRAYS HARBOR,16,0,11,0,W,9,10,Children,Children 10+,<Null>,0.25,7/3/10,1430,7/3/10,1400,7/3/10,2200,7/23/10,1100,<Null>,<Null>,<Null>,1,Classified,911947,46.888207,-124.045983,WA-PCS-0016,<Null>,Private,DNR,Point,DNR Protection FFPA,PACIFIC CASC
5405,13659,60,CEMETERY,13801,STEVENS,29,0,40,0,E,15,2100,Miscellaneou,Fireworks,<Null>,0.1,7/3/10,2100,7/3/10,2110,7/3/10,2230,7/13/10,1235,<Null>,0.1,<Null>,1,Classified,690151,48.00687,-117.75479,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
8799,13662,612,LOWER TOAT,13804,OKANOGAN,39,0,25,0,E,29,<Null>,Recreation,Camper,<Null>,0.01,7/4/10,1430,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,878447,48.84834,-119.73324,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
18633,13700,1505,Spanish Castle,13842,DOUGLAS,20,0,23,0,E,18,<Null>,Undetermined,None,<Null>,2470,7/4/10,1740,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,1004605,47.224846,-119.993923,<Null>,WA-WFS-101,Private,WA Fire Service,Point,DNR Assist Other Agency,SOUTHEAST
9706,13680,806,FALSE ALARM - Kingsbury,13822,DOUGLAS,21,0,21,0,E,28,<Null>,Undetermined,None,<Null>,0,7/4/10,1427,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,220587,47.2859,-120.20529,WA-SES-231,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,SOUTHEAST
9606,13660,871,PETE'S RETREAT,13802,FERRY,37,0,33,0,E,8,<Null>,Undetermined,None,<Null>,0,7/4/10,1135,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,1854,48.72069,-118.67286,<Null>,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
2115,13683,807,FALSE ALARM - Maloy Rd,13825,YAKIMA,16,0,16,0,E,4,<Null>,Undetermined,None,<Null>,0,7/4/10,1700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,513559,46.90806,-120.83149,WA-SES-232,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,SOUTHEAST
18703,13701,63,WAIKIKI,13843,SPOKANE,26,0,42,0,E,12,1729,Miscellaneou,Fireworks,<Null>,0.1,7/4/10,1855,7/4/10,1857,7/4/10,1910,7/7/10,1723,<Null>,<Null>,<Null>,1,Classified,700170,47.76752,-117.44563,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
17469,13663,61,231 FLOWER,13805,LINCOLN,27,0,39,0,E,14,2600,Miscellaneou,Fireworks,<Null>,0.1,7/4/10,1400,7/4/10,1402,7/4/10,1420,7/28/10,1230,<Null>,<Null>,<Null>,1,Classified,525500,47.83783,-117.86146,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
4400,13679,62,HUNTERS HIGHWAY,13821,STEVENS,30,0,40,0,E,31,2120,Miscellaneou,Fireworks,<Null>,0.25,7/4/10,1630,7/4/10,1635,7/4/10,1730,7/13/10,1352,<Null>,<Null>,<Null>,1,Classified,671535,48.05808,-117.78216,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
3869,14371,805,Bells Mountain,14513,CLARK,4,0,3,0,E,30,<Null>,Undetermined,None,<Null>,0,7/5/10,2010,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,166617,45.802908,-122.485817,WA-PCS-0805,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,PACIFIC CASC
6724,13948,16,Nelson Powerline,14090,KITTITAS,20,0,14,0,E,19,2750,Arson,Other,<Null>,0.01,7/5/10,130,7/5/10,100,7/5/10,800,7/8/10,1450,<Null>,0.01,<Null>,1,Classified,703998,47.20678,-121.15152,WA-SES-234,<Null>,Private,DNR,Point,DNR Protection FFPA,SOUTHEAST
416,13740,19,Rattlesnake Campfires,13882,KLICKITAT,4,0,11,0,E,16,815,Recreation,Camper,<Null>,0.01,7/5/10,2030,7/5/10,930,7/5/10,1115,7/6/10,1630,0.01,<Null>,<Null>,1,Classified,617009,45.82797,-121.43311,WA-SES-237,<Null>,Forest Landowner-Industrial,DNR,Point,DNR Protection FFPA,SOUTHEAST
9377,13739,17,Cheese,13881,KLICKITAT,6,0,10,0,E,21,2100,Recreation,Camper,<Null>,0.01,7/5/10,1436,7/5/10,1400,7/5/10,1600,7/7/10,1100,0.01,<Null>,<Null>,1,Classified,966350,45.98741,-121.55764,WA-SES-235,<Null>,Private,DNR,Point,DNR Protection FFPA,SOUTHEAST
10628,13943,18,Couch Fire,14085,KITTITAS,19,0,19,0,E,12,1000,Recreation,Camper,<Null>,0.01,7/5/10,1735,7/5/10,1630,7/5/10,1630,7/8/10,1400,0.01,<Null>,<Null>,1,Classified,1010598,47.154485,-120.401718,WA-SES-236,<Null>,DNR,DNR,Point,DNR Protection FFPA,SOUTHEAST
3164,14365,604,Buckley Road,14507,LEWIS,11,0,1,0,W,4,<Null>,Debris Burn,None,Unattended,0.01,7/6/10,820,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,315199,46.466967,-122.813917,Wa-PCS-0604,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,PACIFIC CASC
19016,13721,614,POOR REFLECTION,13863,OKANOGAN,37,0,25,0,E,3,<Null>,Recreation,Camper,<Null>,0.01,7/6/10,700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,661832,48.73945,-119.67213,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
11963,13719,613,BARKING MARKET,13861,SPOKANE,26,0,43,0,E,15,<Null>,Miscellaneou,Combustion,<Null>,0.1,7/6/10,1030,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,959157,47.74914,-117.3604,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
10741,13839,615,SUPERSTITION,13981,OKANOGAN,36,0,28,0,E,23,<Null>,Miscellaneou,Structure Fi,<Null>,0.01,7/7/10,645,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,756442,48.60991,-119.29182,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
12173,13759,616,JOE DOG,13901,STEVENS,36,0,40,0,E,4,<Null>,Debris Burn,None,Unattended,0.01,7/7/10,2315,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,389816,48.64341,-117.76545,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
15783,14373,807,Mossy Ony Smoke,14515,LEWIS,12,0,2,0,E,5,<Null>,Undetermined,None,<Null>,0,7/7/10,1115,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,1165618,46.553975,-122.584558,WA-PCS-0807,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,PACIFIC CASC
15318,14372,806,Maybe Mines,14514,SKAMANIA,2,0,7,0,E,8,<Null>,Undetermined,None,<Null>,0,7/7/10,2010,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,315215,45.673444,-121.970774,WA-PCS-0806,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,PACIFIC CASC
15971,13741,20,Bueno,13883,KITTITAS,5,0,15,0,E,3,1900,Recreation,Camper,<Null>,0.01,7/7/10,810,7/7/10,730,7/7/10,840,7/7/10,915,0.01,<Null>,<Null>,1,Classified,480125,45.95074,-120.91881,WA-SES-238,<Null>,Private,DNR,Point,DNR Protection FFPA,SOUTHEAST
13130,13801,617,QUEEN OF SHEBA,13943,STEVENS,37,0,39,0,E,8,<Null>,Miscellaneou,Structure Fi,<Null>,0.01,7/8/10,1800,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,120470,48.72353,-117.91515,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
10633,13945,1506,Pac Man,14087,KITTITAS,16,0,19,0,E,20,0,Miscellaneou,Fireworks,<Null>,0.5,7/8/10,2000,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,754036,46.85609,-120.48636,<Null>,WA-MISC-241,Bureau Of Land Management,Bureau Of Land Management,Point,DNR Assist Other Agency,SOUTHEAST
3515,13760,872,VALLEY VIEW,13902,OKANOGAN,38,0,28,0,E,5,<Null>,Undetermined,None,<Null>,0,7/8/10,754,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,1106184,48.81588,-119.33338,<Null>,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
14476,13799,873,BIG SCARE,13941,FERRY,40,0,33,0,E,11,<Null>,Undetermined,None,<Null>,0,7/8/10,1900,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,619343,48.97469,-118.59544,<Null>,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
12285,13800,64,OROVILLE FLATS,13942,OKANOGAN,40,0,27,0,E,20,1040,Miscellaneou,Other,<Null>,1.5,7/8/10,1550,7/8/10,1610,7/8/10,1730,7/13/10,1220,<Null>,<Null>,<Null>,1,Classified,847752,48.95364,-119.45925,WA-NES-287,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
15460,14763,17,Dime,14905,COWLITZ,10,0,2,0,W,17,1000,Recreation,Camper,<Null>,0.1,7/8/10,1030,7/8/10,1030,7/8/10,1100,7/8/10,1127,0.1,<Null>,<Null>,1,Classified,25349,46.34918,-122.96157,WA-PCS-0017,<Null>,DNR,DNR,Point,DNR Protection FFPA,PACIFIC CASC
9348,13939,21,Fuller,14081,KLICKITAT,6,0,13,0,E,3,1700,Recreation,Camper,<Null>,0.01,7/8/10,1200,7/8/10,1200,7/8/10,1500,7/11/10,1200,<Null>,0.01,<Null>,1,Classified,848583,46.037008,-121.165907,WA-SES-242,<Null>,Private,DNR,Point,DNR Protection FFPA,SOUTHEAST
7966,13905,6,LOG JAM,14047,SNOHOMISH,32,0,7,0,E,1,1100,Children,Children 10+,<Null>,0.1,7/8/10,1530,7/8/10,1530,7/8/10,1900,7/19/10,1300,<Null>,<Null>,<Null>,1,Classified,342766,48.28467,-121.84377,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHWEST
4722,13846,618,CRESTON,13988,LINCOLN,27,0,36,0,E,19,<Null>,Debris Burn,None,Instructions,0.25,7/9/10,1720,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,1086085,47.8228,-118.31555,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
16390,13946,1507,Rudd,14088,YAKIMA,14,0,17,0,E,17,0,Debris Burn,None,<Null>,5,7/9/10,1100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,721897,46.7075,-120.73393,<Null>,WA-YKCN-243,Private,WA Fire Service,Point,DNR Assist Other Agency,SOUTHEAST
17472,13845,874,BLUE BIRD,13987,SPOKANE,26,0,41,0,E,20,<Null>,Undetermined,None,<Null>,0,7/9/10,1639,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,966680,47.73918,-117.65516,<Null>,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
15222,13843,68,GEIGERS SPOT,13985,SPOKANE,25,0,42,0,E,33,2000,Miscellaneou,Other,<Null>,0.1,7/9/10,1720,7/9/10,1720,7/9/10,1830,7/15/10,1047,<Null>,<Null>,<Null>,1,Classified,961075,47.62297,-117.49964,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
17888,14240,4,NORTH FORK,14382,KING,25,0,9,0,E,19,1260,Recreation,Day Use,<Null>,0.01,7/9/10,200,7/9/10,200,7/9/10,300,7/21/10,1430,0.01,<Null>,<Null>,1,Classified,67275,47.64183,-121.6956,WA-SPS-004,<Null>,Forest Landowner-Industrial,DNR,Point,DNR Protection FFPA,SO PUGET
16468,13859,67,TROGER FLATS,14001,STEVENS,30,0,37,0,E,18,1700,Miscellaneou,Other,<Null>,0.01,7/9/10,1740,7/9/10,1742,7/9/10,1805,7/14/10,1747,0.01,<Null>,<Null>,1,Classified,480327,48.09829,-118.20141,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
17065,13840,2,3/4 Govey,13982,MASON,21,0,5,0,W,11,300,Miscellaneou,Fireworks,<Null>,1,7/9/10,1640,7/9/10,1630,7/9/10,2140,7/15/10,1623,<Null>,1,<Null>,1,Classified,755250,47.337079,-123.303081,2,<Null>,Forest Landowner-Industrial,DNR,Point,DNR Protection FFPA,SO PUGET
5059,13947,22,River,14089,KLICKITAT,4,0,13,0,E,22,500,Recreation,Day Use,<Null>,0.1,7/9/10,1632,7/10/10,1630,7/10/10,1700,7/12/10,1400,<Null>,<Null>,<Null>,1,Classified,392535,45.81282,-121.16767,WA-SES-244,<Null>,Other Government,DNR,Point,DNR Protection FFPA,SOUTHEAST
3966,13841,66,DRY COULEE ONE,13983,OKANOGAN,33,0,26,0,E,18,1340,Miscellaneou,Other,<Null>,0.1,7/9/10,1500,7/9/10,1540,7/9/10,1730,7/16/10,1210,<Null>,<Null>,<Null>,1,Classified,616379,48.36474,-119.61136,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
8712,13819,65,DAVIS ROCK,13961,PEND OREILLE,31,0,44,0,E,6,2220,Miscellaneou,Power Line,<Null>,0.1,7/9/10,1000,7/9/10,1055,7/9/10,1213,7/14/10,1008,0.1,<Null>,<Null>,1,Classified,440024,48.22221,-117.29336,<Null>,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
19263,13842,1502,SQUARE BUTTE,13984,LINCOLN,22,0,39,0,E,35,0,Miscellaneou,Other,<Null>,1.5,7/10/10,1100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,202736,47.36042,-117.85247,<Null>,<Null>,Bureau Of Land Management,Bureau Of Land Management,Point,DNR Assist Other Agency,NORTHEAST
7165,13844,69,BOULDER CREEK,13986,OKANOGAN,36,0,21,0,E,35,4536,Miscellaneou,Fireworks,<Null>,0.1,7/10/10,1100,7/10/10,1200,7/10/10,1400,7/16/10,1230,0.1,<Null>,<Null>,1,Classified,1105870,48.57904,-120.16774,<Null>,<Null>,Other Government,DNR,Point,DNR Protection FFPA,NORTHEAST
13490,13999,23,Mission Creek,14141,CHELAN,23,0,19,0,E,17,1000,Miscellaneou,Fireworks,<Null>,52,7/10/10,10,7/10/10,10,7/11/10,2000,7/21/10,1330,52,<Null>,<Null>,1,Classified,317238,47.48933,-120.48296,WA-SES-246,<Null>,Private,DNR,Point,DNR Protection FFPA,SOUTHEAST
14222,13847,3,53 ROAD,13989,PIERCE,15,0,5,0,E,17,1197,Miscellaneou,Other,<Null>,0.25,7/10/10,1615,7/10/10,1530,7/10/10,1900,7/20/10,1036,<Null>,<Null>,<Null>,1,Classified,71575,46.78283,-122.211,WA-SPS-OO3,<Null>,DNR,DNR,Point,DNR Protection FFPA,SO PUGET
16652,14000,24,Swakane,14142,CHELAN,24,0,20,0,E,16,1900,Recreation,Other,<Null>,17115,7/10/10,1208,7/10/10,1200,8/10/10,1717,9/20/10,1330,<Null>,<Null>,<Null>,1,Classified,1068240,47.5771,-120.33459,WA-SES-249,<Null>,DNR,DNR,Point,DNR Protection FFPA,SOUTHEAST
5103,14374,19,Dark Horse,14516,THURSTON,17,0,4,0,W,36,350,Arson,Other,<Null>,0.5,7/10/10,930,7/11/10,930,7/11/10,2000,7/15/10,1200,<Null>,0.5,<Null>,1,Classified,315176,46.916794,-123.129889,WA-PCS-0019,<Null>,DNR,DNR,Point,DNR Protection FFPA,PACIFIC CASC
7981,13923,18,Waldrick R&R,14065,THURSTON,17,0,1,0,W,31,250,Railroad,Carbon,<Null>,0.1,7/10/10,1113,7/10/10,1113,7/10/10,1215,7/10/10,1215,<Null>,<Null>,<Null>,1,Classified,797101,46.92093,-122.85617,WA-PCS-0018,<Null>,Private,DNR,Point,DNR Protection FFPA,PACIFIC CASC
2556,13848,619,RIPPLE BANK,13990,FERRY,36,0,32,0,E,1,<Null>,Miscellaneou,Structure Fi,<Null>,0.2,7/11/10,1430,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,723430,48.64613,-118.74066,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
11730,13901,71,MAY ROAD,14043,SPOKANE,29,0,44,0,E,14,2280,Debris Burn,None,Unattended,1.3,7/11/10,1300,7/11/10,1310,7/11/10,1900,7/19/10,1408,1.3,<Null>,<Null>,1,Classified,632749,48.01516,-117.20041,WA-NES-302,<Null>,Private,DNR,Point,DNR Protection FFPA,NORTHEAST
18980,13860,70,RUBY RIDGE,14002,PEND OREILLE,35,0,44,0,E,31,3019,Lightning,None,<Null>,0.25,7/11/10,1000,7/11/10,945,7/11/10,1300,7/16/10,1235,0.25,<Null>,<Null>,1,Classified,279706,48.4933,-117.29747,<Null>,<Null>,Other Government,DNR,Point,DNR Protection FFPA,NORTHEAST
10585,14003,25,Rock Pit,14145,KLICKITAT,6,0,10,0,E,15,2000,Miscellaneou,Combustion,<Null>,0.01,7/11/10,1529,7/11/10,1500,7/11/10,1730,7/16/10,1130,0.01,<Null>,<Null>,1,Classified,217016,46.00562,-121.53663,WA-SES-252,<Null>,Other Government,DNR,Point,DNR Protection FFPA,SOUTHEAST
9000,13942,623,VALLEY SCHOOL,14084,STEVENS,31,0,40,0,E,23,<Null>,Miscellaneou,Power Line,<Null>,0.01,7/12/10,1700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,789735,48.17386,-117.72328,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
2964,13928,620,MALOY STRUCTURE,14070,SPOKANE,23,0,40,0,E,2,<Null>,Miscellaneou,Structure Fi,<Null>,3,7/12/10,1520,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,605049,47.51629,-117.72287,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
714,13927,621,EVANS ALFALFA,14069,STEVENS,37,0,38,0,E,9,<Null>,Miscellaneou,Power Line,<Null>,0.01,7/12/10,1530,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,2,Unclassified,896127,48.71668,-118.02452,<Null>,<Null>,<Null>,<Null>,Point,Threat To DNR Protection FFPA Land,NORTHEAST
1509,13944,1508,Gooselake,14086,KLICKITAT,5,0,8,0,E,9,0,Undetermined,None,<Null>,0.01,7/12/10,1531,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,1112888,45.93678,-121.80707,<Null>,WA-GPF-0001,US Forest Service,US Forest Service,Point,DNR Assist Other Agency,SOUTHEAST
2046,14619,1503,LINE FIRE,14761,STEVENS,27,0,38,0,E,13,0,Miscellaneou,Other,<Null>,907,7/12/10,2007,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,4,Other Agency,399466,47.83357,-117.96514,WA-NES-324,WA-SPA-029,Bureau of Indian Affairs,Bureau of Indian Affairs,Point,DNR Assist Other Agency,NORTHEAST
